"Frequency","Monetary.mean","Recency"
7,615.714285714286,2
4,449.31,75
1,1757.55,18
1,334.4,310
11,140.491818181818,36
1,89,204
1,1079.4,232
1,459.4,214
3,937.143333333333,22
1,6207.67,33
2,584.03,1
6,1040.92166666667,7
3,887.353333333333,52
1,189.9,287
13,396.506153846154,3
2,276,109
4,328.275,7
3,106.896666666667,291
1,168.9,4
4,886.4225,51
2,943.98,44
3,432.68,71
1,364.6,311
1,742.93,25
3,151.806666666667,2
2,814.06,315
1,4008.62,129
3,283.43,81
5,544.112,21
6,300.66,4
6,306.551666666667,184
3,188.72,28
2,200.95,337
6,463.443333333333,15
1,549.84,79
1,460.89,21
4,395.65,72
2,636.24,63
15,199.885333333333,15
2,1204.95,35
1,1635.66,45
4,277.1625,119
1,84.3,303
1,225.6,323
2,204.85,49
1,1710.39,148
3,1093.58333333333,22
5,341.624,49
9,315.841111111111,32
7,1579.56142857143,78
3,227.026666666667,301
3,408.96,74
5,138.83,66
3,187.47,217
12,298.233333333333,3
1,668.58,112
1,600.39,63
5,161.254,15
3,267.853333333333,95
9,205.456666666667,0
2,880.48,162
1,777.2,78
1,582.73,194
5,141.674,11
12,656.433333333333,25
4,937.6,9
1,256.4,43
18,356.466111111111,35
5,1011.864,42
7,1910.83857142857,0
4,191.2975,84
2,3914.945,79
1,509.01,99
19,257.718947368421,1
2,1453.425,14
1,173.55,366
1,172.06,3
5,1001.092,21
1,133.4,22
1,1002.31,57
1,476.49,243
1,449.45,44
4,1016.8225,22
2,98.94,156
6,1488.92,10
3,142.856666666667,16
1,707.09,134
6,411.143333333333,73
4,788.4725,44
12,159.815,58
2,473.7,71
2,413.44,94
4,281.0025,2
7,186.232857142857,46
8,151.50625,10
3,244.63,7
3,241.346666666667,143
13,479.190769230769,30
9,316.47,29
30,237.215666666667,17
1,723.38,53
20,327.329,1
9,1457.44555555556,22
1,680.99,3
3,159.1,3
4,820.4075,28
11,508.26,22
13,179.01,17
8,561.90875,32
3,432.886666666667,9
1,334.93,336
10,541.793,5
1,460.4,38
2,131.605,63
3,138.93,165
13,87.6423076923077,9
1,1043.1,81
3,134.566666666667,21
13,323.559230769231,23
2,1044.84,315
5,744.774,95
4,28.5,18
1,73.5,232
4,314.515,134
2,199.135,26
1,176.5,284
2,491.285,142
2,69.015,66
2,293.395,84
1,1017.68,267
1,383.7,353
2,656.03,77
6,410.815,28
5,411.378,0
1,340.84,63
6,430.418333333333,79
1,599.68,142
2,96.36,39
13,134.274615384615,1
8,560.715,9
3,438.886666666667,0
3,116.236666666667,81
8,240.285,9
5,324.726,59
1,125.22,14
1,349.83,30
1,1089.18,130
2,358.175,91
5,821.364,7
1,363.95,29
5,770.5,22
19,700.475789473684,19
3,327.06,29
2,177.85,29
2,500.195,75
3,380.5,46
2,103.9,197
1,95.2,166
1,964.83,79
1,168,357
2,218.91,38
14,260.875,8
2,301.855,50
5,2398.192,16
3,178.736666666667,310
4,525.3475,5
1,238.85,302
7,540.248571428571,8
1,456.9,261
2,65.585,281
2,173.35,72
11,828.630909090909,22
35,116.142571428571,2
2,259.805,39
3,334.906666666667,8
1,160.54,227
1,218.45,315
6,217.83,35
4,148.85,35
4,688.34,21
3,136.906666666667,73
1,415.7,246
1,197.71,39
2,255.68,238
18,399.296666666667,2
18,105.219444444444,3
4,495.7025,234
2,89.97,17
1,144,7
1,214.9,39
2,323.34,28
3,3287.12666666667,190
1,452.85,317
2,218.8,92
3,139.366666666667,108
11,301.838181818182,37
2,309.135,51
5,736.626,19
9,333.631111111111,9
7,147.511428571429,29
11,234.64,28
6,94.9266666666667,189
1,153.12,58
1,739.2,21
2,127.09,79
3,375.616666666667,78
7,293.998571428571,22
1,1193.32,52
2,321.795,57
6,536.496666666667,31
1,315.6,277
4,572.7975,2
5,131.45,85
1,355.53,29
1,177.31,21
13,247.293076923077,16
3,446.47,14
23,591.829130434783,1
1,180.1,232
1,305.1,276
2,320.565,106
3,871.44,211
13,491.411538461538,23
7,639.79,10
4,192.4025,4
2,635.44,9
1,640.5,57
5,428.126,58
2,844.59,89
10,595.325,67
1,671.69,33
1,486.1,238
3,391.526666666667,23
1,185.9,115
3,337.753333333333,25
6,557.44,128
1,477.91,129
5,351.076,33
2,673.485,4
13,282.301538461538,22
1,318.05,154
4,150.9275,107
1,314.44,3
1,114,334
2,457.265,322
2,1104.925,148
5,120.396,10
8,497.84,17
5,230.412,11
1,686.05,18
1,91.68,29
1,245.1,11
12,318.09,0
10,486.388,8
2,30.875,324
1,620.13,58
6,623.863333333333,7
4,401.9325,150
6,497.691666666667,10
1,225.9,329
2,305.26,5
7,274.187142857143,11
6,221.898333333333,24
13,1352.94307692308,42
9,117.63,52
4,215.7025,0
27,506.577407407407,14
31,396.394193548387,3
20,411.0545,4
7,326.232857142857,7
6,477.18,28
1,89.14,371
1,4873.81,113
2,623.805,25
1,389.01,205
6,172.633333333333,28
6,138.493333333333,120
2,434.835,70
4,145.525,7
5,187.804,21
6,811.331666666667,7
2,398.855,79
1,219,19
2,137.35,64
10,222.084,7
14,486.731428571429,15
1,603.42,291
16,163.52,29
26,357.465384615385,3
4,282.6425,96
17,249.507647058824,22
1,848.55,0
5,941.772,9
1,353.86,106
2,526.745,3
3,326.993333333333,151
1,238.25,71
3,202.7,5
29,197.009655172414,2
7,375.568571428571,31
6,150.721666666667,85
5,145.014,3
4,257.8525,5
1,427.8,371
7,372.728571428571,28
9,438.633333333333,10
4,209.0825,71
1,453.01,113
1,236.26,179
1,383.95,234
1,110.4,352
2,389.785,315
1,234,332
1,155.35,372
2,506.52,78
1,427.6,63
2,273.215,134
10,912.039,51
11,381.455454545455,2
8,483.525,3
1,275.88,128
1,4366.78,81
5,589.824,235
4,550.8,249
1,112.08,86
19,222.51052631579,15
2,1395.795,116
3,510.48,52
2,949.26,7
2,247.04,138
1,1693.88,316
7,998.518571428571,3
1,1143.6,238
1,1351.45,210
1,892.47,59
6,225.206666666667,17
7,114.89,19
12,322.391666666667,21
5,141.544,21
6,378.886666666667,4
8,200.48375,2
2,287.21,9
2,152.855,2
3,154.553333333333,9
1,91.85,65
1,324.92,192
1,192.6,373
1,400.54,256
2,272.74,334
2,430.205,53
1,430.48,18
3,64.7266666666667,360
3,2325.68,10
2,206.29,183
3,161.216666666667,36
2,242.18,168
3,171.616666666667,260
1,229.64,44
